day,date,steel_grade,target_thickness_mm,entry_temp_c,line_speed_mpm,rolling_force_ton,roll_gap_corr_mm,thickness_dev_mm,workroll_vib_mm_s,motor_current_a,hyd_pressure_bar,hyd_oiltemp_c,hyd_level_pct,days_to_next_roll_change,post_maintenance_result
48,2026-07-18,SPHC,2.0,1176.7,842.2,1659.9,0.215,0.048,2.43,207.1,152.0,44.2,88.5,19.0,롤 표면 마모 확인
49,2026-07-19,SPHC,2.0,1180.5,846.8,1571.3,0.235,0.049,2.53,204.1,179.0,43.9,89.1,18.0,롤 표면 마모 확인
50,2026-07-20,SPHC,2.0,1178.5,840.7,1594.7,0.258,0.052,2.51,203.9,151.5,44.3,88.8,17.0,롤 표면 마모 확인
51,2026-07-21,SPHC,2.0,1182.3,842.9,1570.7,0.289,0.054,2.52,205.3,152.4,44.8,88.5,16.0,롤 표면 마모 확인
52,2026-07-22,SPHC,2.0,1175.4,846.3,1631.0,0.278,0.057,2.55,207.9,151.6,43.9,88.6,15.0,롤 표면 마모 확인
53,2026-07-23,SPHC,2.0,1189.4,825.4,1592.9,0.31,0.065,2.57,207.6,151.7,43.9,88.5,14.0,롤 표면 마모 확인
54,2026-07-24,SS400,3.2,1183.4,756.8,1750.4,0.32,0.051,2.42,221.9,153.1,44.2,88.4,13.0,롤 표면 마모 확인
55,2026-07-25,SS400,3.2,1174.7,755.3,1793.9,0.338,0.063,2.55,221.5,151.2,43.9,88.1,12.0,롤 표면 마모 확인
56,2026-07-26,SS400,3.2,1177.9,753.6,1739.3,0.37,0.066,2.57,216.8,150.1,44.3,88.4,11.0,롤 표면 마모 확인
57,2026-07-27,SPHC,2.0,1187.2,837.2,1552.8,0.381,0.069,2.66,208.6,153.3,44.3,88.2,10.0,롤 표면 마모 확인
58,2026-07-28,SPHC,2.0,1190.9,854.9,1597.0,0.407,0.069,2.71,208.3,154.0,44.7,88.1,9.0,롤 표면 마모 확인
59,2026-07-29,SPHC,2.0,1199.0,831.3,1545.9,0.405,0.065,2.69,207.7,151.7,43.8,88.7,8.0,롤 표면 마모 확인
60,2026-07-30,SPHC,2.0,1205.4,849.7,1540.0,0.415,0.076,2.85,208.6,150.5,44.4,88.6,7.0,롤 표면 마모 확인
61,2026-07-31,SPHC,2.0,1187.9,823.2,1641.3,0.437,0.084,2.68,211.6,151.8,44.2,87.9,6.0,롤 표면 마모 확인
62,2026-08-01,SPHC,2.0,1178.1,836.7,1682.6,0.458,0.073,2.7,210.8,151.8,43.8,88.5,5.0,롤 표면 마모 확인
63,2026-08-02,SS400,3.2,1170.1,761.6,1863.9,0.474,0.085,2.6,224.2,151.8,43.3,88.8,4.0,롤 표면 마모 확인
64,2026-08-03,SS400,3.2,1186.9,765.9,1767.5,0.475,0.086,2.6,218.4,151.1,44.3,88.9,3.0,롤 표면 마모 확인
65,2026-08-04,SS400,3.2,1179.3,767.1,1818.6,0.505,0.094,2.6,221.7,152.5,43.9,88.9,2.0,롤 표면 마모 확인
66,2026-08-05,SPHC,2.0,1182.1,847.9,1657.5,0.523,0.096,2.74,216.3,152.4,43.9,88.5,1.0,롤 표면 마모 확인
67,2026-08-06,SPHC,2.0,1180.7,836.5,1572.2,0.147,0.031,2.35,206.0,150.8,44.3,88.2,0.0,교체 후 정상
68,2026-08-07,SPHC,2.0,1184.0,835.4,1564.8,0.141,0.028,2.38,208.1,152.6,44.8,88.1,,교체 후 정상
69,2026-08-08,SPHC,2.0,1192.5,848.6,1536.8,0.109,0.033,2.38,205.1,153.6,43.3,88.6,,교체 후 정상
70,2026-08-09,SPHC,2.0,1186.1,838.1,1539.8,0.117,0.031,2.31,206.1,152.1,43.6,88.6,,교체 후 정상
71,2026-08-10,SPHC,2.0,1183.9,827.2,1574.5,0.104,0.034,2.42,205.6,151.7,43.9,89.0,,교체 후 정상
72,2026-08-11,SS400,3.2,1177.8,748.7,1707.1,0.116,0.031,2.31,215.1,151.9,44.6,88.9,,교체 후 정상
73,2026-08-12,SS400,3.2,1173.3,750.8,1734.4,0.128,0.024,2.25,214.5,152.5,44.1,88.5,,교체 후 정상
74,2026-08-13,SS400,3.2,1181.6,765.0,1715.1,0.14,0.029,2.24,216.4,150.6,44.4,88.1,,교체 후 정상
75,2026-08-14,SPHC,2.0,1184.6,841.4,1509.2,0.118,0.025,2.41,202.9,152.1,43.8,88.4,,교체 후 정상
76,2026-08-15,SPHC,2.0,1197.4,846.9,1460.6,0.12,0.027,2.4,204.7,151.7,43.8,88.6,,교체 후 정상
77,2026-08-16,SPHC,2.0,1185.9,835.7,1515.9,0.104,0.034,2.27,206.6,153.5,44.5,88.4,,교체 후 정상
78,2026-08-17,SPHC,2.0,1191.9,841.6,1463.9,0.129,0.031,2.38,204.3,151.9,44.4,88.3,,교체 후 정상
79,2026-08-18,SPHC,2.0,1181.5,846.3,1559.6,0.119,0.027,2.41,205.0,153.3,44.6,88.6,,교체 후 정상
80,2026-08-19,SPHC,2.0,1176.7,836.9,1620.6,0.127,0.026,2.31,207.6,151.1,44.2,88.3,,교체 후 정상
